state_class,magnitude_quantizer,bits_per_magnitude,bits_per_phase,k,sample_idx,fidelity,compression_ratio
haar,lloyd,2,2,,0,0.8409318915396233,12.337349397590362
haar,topk,2,2,8.0,0,0.8412781227125362,11.636363636363637
haar,log,2,2,,0,0.83217535511852,12.337349397590362
haar,percentile,2,2,,0,0.8409796108610244,11.361997226074896
haar,lloyd,3,3,,0,0.9576762700634402,8.752136752136753
haar,topk,3,3,8.0,0,0.9579446566362207,8.402051282051282
haar,log,3,3,,0,0.9573223097037461,8.752136752136753
haar,percentile,3,3,,0,0.9582300401933469,8.261187444850624
haar,lloyd,4,4,,0,0.9888523749206358,6.69281045751634
haar,topk,4,4,8.0,0,0.9891960955516991,6.491283676703645
haar,log,4,4,,0,0.9888133792492636,6.69281045751634
haar,percentile,4,4,,0,0.9891653764815611,6.408761979268531
haar,lloyd,2,2,,1,0.8512003463595488,12.337349397590362
haar,topk,2,2,8.0,1,0.8543872014136096,11.636363636363637
haar,log,2,2,,1,0.8422982486921574,12.337349397590362
haar,percentile,2,2,,1,0.8555041474935189,11.361997226074896
haar,lloyd,3,3,,1,0.9587719990890118,8.752136752136753
haar,topk,3,3,8.0,1,0.9609140055508137,8.402051282051282
haar,log,3,3,,1,0.9573627366438776,8.752136752136753
haar,percentile,3,3,,1,0.9611539276625782,8.261187444850624
haar,lloyd,4,4,,1,0.9898891192431812,6.69281045751634
haar,topk,4,4,8.0,1,0.9897985540098897,6.491283676703645
haar,log,4,4,,1,0.9892405630831673,6.69281045751634
haar,percentile,4,4,,1,0.9899372527054526,6.408761979268531
haar,lloyd,2,2,,2,0.8405445264951222,12.337349397590362
haar,topk,2,2,8.0,2,0.8461468733882531,11.636363636363637
haar,log,2,2,,2,0.8315988358635624,12.337349397590362
haar,percentile,2,2,,2,0.8461377546298635,11.361997226074896
haar,lloyd,3,3,,2,0.9584845512894478,8.752136752136753
haar,topk,3,3,8.0,2,0.9594507479820837,8.402051282051282
haar,log,3,3,,2,0.9551997952531909,8.752136752136753
haar,percentile,3,3,,2,0.958961046803712,8.261187444850624
haar,lloyd,4,4,,2,0.9889530868249108,6.69281045751634
haar,topk,4,4,8.0,2,0.9891268406343782,6.491283676703645
haar,log,4,4,,2,0.9884143614831805,6.69281045751634
haar,percentile,4,4,,2,0.9892622236940533,6.408761979268531
haar,lloyd,2,2,,3,0.8431179886408338,12.337349397590362
haar,topk,2,2,8.0,3,0.8456901820769157,11.636363636363637
haar,log,2,2,,3,0.8336537455243062,12.337349397590362
haar,percentile,2,2,,3,0.8464595371249016,11.361997226074896
haar,lloyd,3,3,,3,0.9568089712895368,8.752136752136753
haar,topk,3,3,8.0,3,0.9581104197260546,8.402051282051282
haar,log,3,3,,3,0.9536485844298253,8.752136752136753
haar,percentile,3,3,,3,0.9585551243177505,8.261187444850624
haar,lloyd,4,4,,3,0.9890429022111974,6.69281045751634
haar,topk,4,4,8.0,3,0.989161558206762,6.491283676703645
haar,log,4,4,,3,0.9886320096990787,6.69281045751634
haar,percentile,4,4,,3,0.9893291205810926,6.408761979268531
haar,lloyd,2,2,,4,0.8415246247411671,12.337349397590362
haar,topk,2,2,8.0,4,0.8418782478542074,11.636363636363637
haar,log,2,2,,4,0.8309813401566964,12.337349397590362
haar,percentile,2,2,,4,0.843545232957905,11.361997226074896
haar,lloyd,3,3,,4,0.9560865646420547,8.752136752136753
haar,topk,3,3,8.0,4,0.9569848664813586,8.402051282051282
haar,log,3,3,,4,0.9546680140783541,8.752136752136753
haar,percentile,3,3,,4,0.9573304271175893,8.261187444850624
haar,lloyd,4,4,,4,0.9896874969644629,6.69281045751634
haar,topk,4,4,8.0,4,0.9898996959017492,6.491283676703645
haar,log,4,4,,4,0.9893156566415079,6.69281045751634
haar,percentile,4,4,,4,0.9898614508145877,6.408761979268531
haar,lloyd,2,2,,5,0.8482876853129819,12.337349397590362
haar,topk,2,2,8.0,5,0.8536273200748908,11.636363636363637
haar,log,2,2,,5,0.8335947600159469,12.337349397590362
haar,percentile,2,2,,5,0.8532848845152089,11.361997226074896
haar,lloyd,3,3,,5,0.9577322668368441,8.752136752136753
haar,topk,3,3,8.0,5,0.9595732784804076,8.402051282051282
haar,log,3,3,,5,0.9559777793714167,8.752136752136753
haar,percentile,3,3,,5,0.9591253137404362,8.261187444850624
haar,lloyd,4,4,,5,0.9885884905611954,6.69281045751634
haar,topk,4,4,8.0,5,0.9892309016796998,6.491283676703645
haar,log,4,4,,5,0.9879859156621612,6.69281045751634
haar,percentile,4,4,,5,0.9889644424803192,6.408761979268531
haar,lloyd,2,2,,6,0.8311726326273359,12.337349397590362
haar,topk,2,2,8.0,6,0.832523823155199,11.636363636363637
haar,log,2,2,,6,0.825784635580016,12.337349397590362
haar,percentile,2,2,,6,0.8328108453310467,11.361997226074896
haar,lloyd,3,3,,6,0.954947629137588,8.752136752136753
haar,topk,3,3,8.0,6,0.9559808764630372,8.402051282051282
haar,log,3,3,,6,0.9525556741086599,8.752136752136753
haar,percentile,3,3,,6,0.9564571851868832,8.261187444850624
haar,lloyd,4,4,,6,0.9883468204657294,6.69281045751634
haar,topk,4,4,8.0,6,0.9889018147577979,6.491283676703645
haar,log,4,4,,6,0.9882776757049103,6.69281045751634
haar,percentile,4,4,,6,0.9889666381297811,6.408761979268531
haar,lloyd,2,2,,7,0.8468353023029985,12.337349397590362
haar,topk,2,2,8.0,7,0.848069872517544,11.636363636363637
haar,log,2,2,,7,0.8345423112684283,12.337349397590362
haar,percentile,2,2,,7,0.847987740522625,11.361997226074896
haar,lloyd,3,3,,7,0.9572956977904578,8.752136752136753
haar,topk,3,3,8.0,7,0.9576412469917275,8.402051282051282
haar,log,3,3,,7,0.9544252678999549,8.752136752136753
haar,percentile,3,3,,7,0.9575041217137692,8.261187444850624
haar,lloyd,4,4,,7,0.9882326134976227,6.69281045751634
haar,topk,4,4,8.0,7,0.9886435438336091,6.491283676703645
haar,log,4,4,,7,0.9880666792703187,6.69281045751634
haar,percentile,4,4,,7,0.9887441479172424,6.408761979268531
