state_class,strategy,sample_idx,fidelity,compression_ratio,basis
haar,wht_only,0,0.9578082876886238,8.402051282051282,wht
haar,kstar,0,0.9578082876886238,8.402051282051282,wht
haar,oracle,0,0.9607048624410692,8.399897462189182,identity
haar,wht_only,1,0.9612477267133587,8.402051282051282,wht
haar,kstar,1,0.9612477267133587,8.402051282051282,wht
haar,oracle,1,0.9612477267133587,8.402051282051282,wht
haar,wht_only,2,0.9589685935500881,8.402051282051282,wht
haar,kstar,2,0.9593781377072065,8.399897462189182,identity
haar,oracle,2,0.9593781377072065,8.399897462189182,identity
haar,wht_only,3,0.9577702826576697,8.402051282051282,wht
haar,kstar,3,0.955056805537535,8.399897462189182,identity
haar,oracle,3,0.9577702826576697,8.402051282051282,wht
haar,wht_only,4,0.9564833831611156,8.402051282051282,wht
haar,kstar,4,0.9578599962989814,8.399897462189182,dct
haar,oracle,4,0.9582944224919847,8.399897462189182,identity
haar,wht_only,5,0.9587247616832822,8.402051282051282,wht
haar,kstar,5,0.9581523864652907,8.399897462189182,identity
haar,oracle,5,0.9587247616832822,8.402051282051282,wht
haar,wht_only,6,0.9564168805709659,8.402051282051282,wht
haar,kstar,6,0.9564168805709659,8.402051282051282,wht
haar,oracle,6,0.9607558549620503,8.399897462189182,dct
haar,wht_only,7,0.9581344388573528,8.402051282051282,wht
haar,kstar,7,0.9571739368169672,8.399897462189182,dct
haar,oracle,7,0.9581344388573528,8.402051282051282,wht
haar,wht_only,8,0.9583449789761089,8.402051282051282,wht
haar,kstar,8,0.9581618097091803,8.399897462189182,identity
haar,oracle,8,0.9599307950756532,8.399897462189182,dct
haar,wht_only,9,0.9555300766382898,8.402051282051282,wht
haar,kstar,9,0.9585458376731606,8.399897462189182,identity
haar,oracle,9,0.9585458376731606,8.399897462189182,identity
haar,wht_only,10,0.9588517471969484,8.402051282051282,wht
haar,kstar,10,0.957412529482178,8.399897462189182,identity
haar,oracle,10,0.9588652455061641,8.399897462189182,dct
haar,wht_only,11,0.9566630432947653,8.402051282051282,wht
haar,kstar,11,0.9587235474306793,8.399897462189182,identity
haar,oracle,11,0.9587235474306793,8.399897462189182,identity
haar,wht_only,12,0.9573582850366362,8.402051282051282,wht
haar,kstar,12,0.9579989581555646,8.399897462189182,identity
haar,oracle,12,0.9579989581555646,8.399897462189182,identity
haar,wht_only,13,0.9584084677884919,8.402051282051282,wht
haar,kstar,13,0.9574904946501541,8.399897462189182,dct
haar,oracle,13,0.9605045759092216,8.399897462189182,identity
haar,wht_only,14,0.957451353321733,8.402051282051282,wht
haar,kstar,14,0.957451353321733,8.402051282051282,wht
haar,oracle,14,0.9582945514385214,8.399897462189182,identity
haar,wht_only,15,0.9581215289536869,8.402051282051282,wht
haar,kstar,15,0.9581215289536869,8.402051282051282,wht
haar,oracle,15,0.9587586509080891,8.399897462189182,dct
haar,wht_only,16,0.9579549551665295,8.402051282051282,wht
haar,kstar,16,0.9581208691569262,8.399897462189182,dct
haar,oracle,16,0.9591683681877713,8.399897462189182,identity
haar,wht_only,17,0.9599492152144313,8.402051282051282,wht
haar,kstar,17,0.9601457696493818,8.399897462189182,identity
haar,oracle,17,0.9601457696493818,8.399897462189182,identity
haar,wht_only,18,0.9564149389869528,8.402051282051282,wht
haar,kstar,18,0.9564149389869528,8.402051282051282,wht
haar,oracle,18,0.9584215488971424,8.399897462189182,identity
haar,wht_only,19,0.9589613228304726,8.402051282051282,wht
haar,kstar,19,0.9620802131896204,8.399897462189182,identity
haar,oracle,19,0.9620802131896204,8.399897462189182,identity
tfim,wht_only,0,0.988221066483534,8.402051282051282,wht
tfim,kstar,0,0.9943590046775688,8.399897462189182,dct
tfim,oracle,0,0.9943590046775688,8.399897462189182,dct
tfim,wht_only,1,0.9880501450322355,8.402051282051282,wht
tfim,kstar,1,0.9943901045427823,8.399897462189182,dct
tfim,oracle,1,0.9943901045427823,8.399897462189182,dct
tfim,wht_only,2,0.9880671485216808,8.402051282051282,wht
tfim,kstar,2,0.9943261288714197,8.399897462189182,dct
tfim,oracle,2,0.9943261288714197,8.399897462189182,dct
tfim,wht_only,3,0.9890811544765514,8.402051282051282,wht
tfim,kstar,3,0.994594256321258,8.399897462189182,dct
tfim,oracle,3,0.994594256321258,8.399897462189182,dct
tfim,wht_only,4,0.9906805990445179,8.402051282051282,wht
tfim,kstar,4,0.9954618224105596,8.399897462189182,dct
tfim,oracle,4,0.9954618224105596,8.399897462189182,dct
tfim,wht_only,5,0.990276518007493,8.402051282051282,wht
tfim,kstar,5,0.995263388267736,8.399897462189182,dct
tfim,oracle,5,0.995263388267736,8.399897462189182,dct
tfim,wht_only,6,0.9889110704955161,8.402051282051282,wht
tfim,kstar,6,0.9945787887828879,8.399897462189182,dct
tfim,oracle,6,0.9945787887828879,8.399897462189182,dct
tfim,wht_only,7,0.9879775969260146,8.402051282051282,wht
tfim,kstar,7,0.9943191440765087,8.399897462189182,dct
tfim,oracle,7,0.9943191440765087,8.399897462189182,dct
tfim,wht_only,8,0.9899262613455998,8.402051282051282,wht
tfim,kstar,8,0.9949090215298346,8.399897462189182,dct
tfim,oracle,8,0.9949090215298346,8.399897462189182,dct
tfim,wht_only,9,0.9880792722822457,8.402051282051282,wht
tfim,kstar,9,0.9943318980584709,8.399897462189182,dct
tfim,oracle,9,0.9943318980584709,8.399897462189182,dct
tfim,wht_only,10,0.9892240192783971,8.402051282051282,wht
tfim,kstar,10,0.9946848777728899,8.399897462189182,dct
tfim,oracle,10,0.9946848777728899,8.399897462189182,dct
tfim,wht_only,11,0.9879809884411114,8.402051282051282,wht
tfim,kstar,11,0.99433139062261,8.399897462189182,dct
tfim,oracle,11,0.99433139062261,8.399897462189182,dct
tfim,wht_only,12,0.9879892847618841,8.402051282051282,wht
tfim,kstar,12,0.9943005298328025,8.399897462189182,dct
tfim,oracle,12,0.9943005298328025,8.399897462189182,dct
tfim,wht_only,13,0.9880484551408043,8.402051282051282,wht
tfim,kstar,13,0.9943309699517652,8.399897462189182,dct
tfim,oracle,13,0.9943309699517652,8.399897462189182,dct
tfim,wht_only,14,0.9892368085383696,8.402051282051282,wht
tfim,kstar,14,0.9946829818445717,8.399897462189182,dct
tfim,oracle,14,0.9946829818445717,8.399897462189182,dct
tfim,wht_only,15,0.9906333337191792,8.402051282051282,wht
tfim,kstar,15,0.9954511265680677,8.399897462189182,dct
tfim,oracle,15,0.9954511265680677,8.399897462189182,dct
tfim,wht_only,16,0.9905557856697095,8.402051282051282,wht
tfim,kstar,16,0.9955025597326256,8.399897462189182,dct
tfim,oracle,16,0.9955025597326256,8.399897462189182,dct
tfim,wht_only,17,0.9886709828124564,8.402051282051282,wht
tfim,kstar,17,0.9944624995799587,8.399897462189182,dct
tfim,oracle,17,0.9944624995799587,8.399897462189182,dct
tfim,wht_only,18,0.9884792428463061,8.402051282051282,wht
tfim,kstar,18,0.9944259985078837,8.399897462189182,dct
tfim,oracle,18,0.9944259985078837,8.399897462189182,dct
tfim,wht_only,19,0.9894902169283538,8.402051282051282,wht
tfim,kstar,19,0.9947332669747037,8.399897462189182,dct
tfim,oracle,19,0.9947332669747037,8.399897462189182,dct
mps,wht_only,0,0.9608886792408041,8.402051282051282,wht
mps,kstar,0,0.9553399796724735,8.399897462189182,dct
mps,oracle,0,0.9608886792408041,8.402051282051282,wht
mps,wht_only,1,0.9603898207935714,8.402051282051282,wht
mps,kstar,1,0.9577003100103497,8.399897462189182,identity
mps,oracle,1,0.9603898207935714,8.402051282051282,wht
mps,wht_only,2,0.9567186500282437,8.402051282051282,wht
mps,kstar,2,0.9567186500282437,8.402051282051282,wht
mps,oracle,2,0.9567186500282437,8.402051282051282,wht
mps,wht_only,3,0.9565922732116213,8.402051282051282,wht
mps,kstar,3,0.9548260334831494,8.399897462189182,identity
mps,oracle,3,0.9567324612088407,8.399897462189182,dct
mps,wht_only,4,0.9563682434417577,8.402051282051282,wht
mps,kstar,4,0.9563682434417577,8.402051282051282,wht
mps,oracle,4,0.9572322520248286,8.399897462189182,dct
mps,wht_only,5,0.9551074809315084,8.402051282051282,wht
mps,kstar,5,0.9557422600342222,8.399897462189182,identity
mps,oracle,5,0.9589294269615514,8.399897462189182,dct
mps,wht_only,6,0.959567472731976,8.402051282051282,wht
mps,kstar,6,0.9542943382137191,8.399897462189182,identity
mps,oracle,6,0.959567472731976,8.402051282051282,wht
mps,wht_only,7,0.9597664242056123,8.402051282051282,wht
mps,kstar,7,0.9583873766953546,8.399897462189182,identity
mps,oracle,7,0.9597664242056123,8.402051282051282,wht
mps,wht_only,8,0.9585006357168842,8.402051282051282,wht
mps,kstar,8,0.9585006357168842,8.402051282051282,wht
mps,oracle,8,0.9585006357168842,8.402051282051282,wht
mps,wht_only,9,0.9550631551468094,8.402051282051282,wht
mps,kstar,9,0.9550631551468094,8.402051282051282,wht
mps,oracle,9,0.9565148316239208,8.399897462189182,identity
mps,wht_only,10,0.9565459249382914,8.402051282051282,wht
mps,kstar,10,0.9544701190042012,8.399897462189182,identity
mps,oracle,10,0.9591723566401886,8.399897462189182,dct
mps,wht_only,11,0.9584402815864199,8.402051282051282,wht
mps,kstar,11,0.957842588530514,8.399897462189182,identity
mps,oracle,11,0.9584402815864199,8.402051282051282,wht
mps,wht_only,12,0.9573957471648749,8.402051282051282,wht
mps,kstar,12,0.9555588349266527,8.399897462189182,identity
mps,oracle,12,0.9586821298933936,8.399897462189182,dct
