state_class,config,bits_per_magnitude,bits_per_phase,sample_idx,fidelity,compression_ratio
tfim,full,4,4,1,0.8110560263698904,6.69281045751634
tfim,wht,2,2,2,1.0,1.0
tfim,wht_mag,2,2,2,0.7456333962140224,1.8754578754578755
tfim,wht_mag_phase,2,2,2,0.7456333962140222,15.515151515151516
tfim,full,2,2,2,0.7609083934204296,12.337349397590362
tfim,wht,3,3,2,1.0,1.0
tfim,wht_mag,3,3,2,0.7569578275994133,1.8156028368794326
tfim,wht_mag_phase,3,3,2,0.7569578275994132,10.24
tfim,full,3,3,2,0.796578942245608,8.752136752136753
tfim,wht,4,4,2,1.0,1.0
tfim,wht_mag,4,4,2,0.7574449472276849,1.7534246575342465
tfim,wht_mag_phase,4,4,2,0.7574449472276837,7.529411764705882
tfim,full,4,4,2,0.8095351796301933,6.69281045751634
tfim,wht,2,2,3,1.0000000000000004,1.0
tfim,wht_mag,2,2,3,0.7456333962140218,1.8754578754578755
tfim,wht_mag_phase,2,2,3,0.7456333962140222,15.515151515151516
tfim,full,2,2,3,0.7982633229462676,12.337349397590362
tfim,wht,3,3,3,1.0000000000000004,1.0
tfim,wht_mag,3,3,3,0.7569578275994133,1.8156028368794326
tfim,wht_mag_phase,3,3,3,0.7569578275994133,10.24
tfim,full,3,3,3,0.8148310873751278,8.752136752136753
tfim,wht,4,4,3,1.0000000000000004,1.0
tfim,wht_mag,4,4,3,0.7574529108600176,1.7534246575342465
tfim,wht_mag_phase,4,4,3,0.7574529108600178,7.529411764705882
tfim,full,4,4,3,0.813464686240938,6.69281045751634
tfim,wht,2,2,4,1.0000000000000004,1.0
tfim,wht_mag,2,2,4,0.7456333962140222,1.8754578754578755
tfim,wht_mag_phase,2,2,4,0.7456333962140224,15.515151515151516
tfim,full,2,2,4,0.7817765091210458,12.337349397590362
tfim,wht,3,3,4,1.0000000000000004,1.0
tfim,wht_mag,3,3,4,0.756957827599413,1.8156028368794326
tfim,wht_mag_phase,3,3,4,0.7569578275994138,10.24
tfim,full,3,3,4,0.8132176052638529,8.752136752136753
tfim,wht,4,4,4,1.0000000000000004,1.0
