state_class,strategy,sample_idx,basis
haar,kstar,0,wht
haar,oracle,0,identity
haar,kstar,1,wht
haar,oracle,1,wht
haar,kstar,2,identity
haar,oracle,2,identity
haar,kstar,3,identity
haar,oracle,3,wht
haar,kstar,4,dct
haar,oracle,4,identity
haar,kstar,5,identity
haar,oracle,5,wht
haar,kstar,6,wht
haar,oracle,6,dct
haar,kstar,7,dct
haar,oracle,7,wht
haar,kstar,8,identity
haar,oracle,8,dct
haar,kstar,9,identity
haar,oracle,9,identity
haar,kstar,10,identity
haar,oracle,10,dct
haar,kstar,11,identity
haar,oracle,11,identity
haar,kstar,12,identity
haar,oracle,12,identity
haar,kstar,13,dct
haar,oracle,13,identity
haar,kstar,14,wht
haar,oracle,14,identity
haar,kstar,15,wht
haar,oracle,15,dct
haar,kstar,16,dct
haar,oracle,16,identity
haar,kstar,17,identity
haar,oracle,17,identity
haar,kstar,18,wht
haar,oracle,18,identity
haar,kstar,19,identity
haar,oracle,19,identity
tfim,kstar,0,dct
tfim,oracle,0,dct
tfim,kstar,1,dct
tfim,oracle,1,dct
tfim,kstar,2,dct
tfim,oracle,2,dct
tfim,kstar,3,dct
tfim,oracle,3,dct
tfim,kstar,4,dct
tfim,oracle,4,dct
tfim,kstar,5,dct
tfim,oracle,5,dct
tfim,kstar,6,dct
tfim,oracle,6,dct
tfim,kstar,7,dct
tfim,oracle,7,dct
tfim,kstar,8,dct
tfim,oracle,8,dct
tfim,kstar,9,dct
tfim,oracle,9,dct
tfim,kstar,10,dct
tfim,oracle,10,dct
tfim,kstar,11,dct
tfim,oracle,11,dct
tfim,kstar,12,dct
tfim,oracle,12,dct
tfim,kstar,13,dct
tfim,oracle,13,dct
tfim,kstar,14,dct
tfim,oracle,14,dct
tfim,kstar,15,dct
tfim,oracle,15,dct
tfim,kstar,16,dct
tfim,oracle,16,dct
tfim,kstar,17,dct
tfim,oracle,17,dct
tfim,kstar,18,dct
tfim,oracle,18,dct
tfim,kstar,19,dct
tfim,oracle,19,dct
mps,kstar,0,dct
mps,oracle,0,wht
mps,kstar,1,identity
mps,oracle,1,wht
mps,kstar,2,wht
mps,oracle,2,wht
mps,kstar,3,identity
mps,oracle,3,dct
mps,kstar,4,wht
mps,oracle,4,dct
mps,kstar,5,identity
mps,oracle,5,dct
mps,kstar,6,identity
mps,oracle,6,wht
mps,kstar,7,identity
