state_class,k50_mean,k50_std,k90_mean,k90_std,k99_mean,k99_std,fid_mean,fid_std,ratio,label
haar,193.25,6.0513156464219895,603.9,8.11690892682158,884.9,5.580982746887197,0.9581502610212432,0.0014575362921772255,8.402051282051282,Haar-random
tfim,3.0,0.0,42.0,0.0,206.0,0.0,0.9889815711663431,0.000992809669379712,8.402051282051282,TFIM ground state
mps,140.5,25.30758155593945,535.7,40.56067579630092,851.65,19.290780454048914,0.9571527413464205,0.0018718465988820522,8.402051282051282,Random MPS (χ=16)
heisenberg,12.0,0.0,56.0,0.0,123.0,0.0,0.9804558898566288,0.0017753995174116283,8.402051282051282,Heisenberg ground state
mps_chi2,57.3,28.6945804529082,302.75,81.47965519395817,655.05,86.81042564116363,0.9551497619293684,0.003567255808383808,8.402051282051282,Random MPS (χ=2)
mps_chi4,74.65,29.727313331257115,375.75,77.16685612496161,737.15,63.64976123492656,0.9542986876877148,0.0024417542178539046,8.402051282051282,Random MPS (χ=4)
clifford,301.15,151.24545230222714,541.8,272.3246128003161,595.85,299.51298627500006,0.9999999999999998,3.312505381190787e-15,8.402051282051282,Random Clifford state
