state_class,basis,threshold,sample_idx,k_star
tfim,identity,0.99,1,793
tfim,wht,0.5,2,3
tfim,wht,0.9,2,42
tfim,wht,0.99,2,206
tfim,dct,0.5,2,2
tfim,dct,0.9,2,27
tfim,dct,0.99,2,135
tfim,identity,0.5,2,33
tfim,identity,0.9,2,339
tfim,identity,0.99,2,793
tfim,wht,0.5,3,3
tfim,wht,0.9,3,42
tfim,wht,0.99,3,206
tfim,dct,0.5,3,2
tfim,dct,0.9,3,27
tfim,dct,0.99,3,135
tfim,identity,0.5,3,33
tfim,identity,0.9,3,339
tfim,identity,0.99,3,793
tfim,wht,0.5,4,3
tfim,wht,0.9,4,42
tfim,wht,0.99,4,206
tfim,dct,0.5,4,2
tfim,dct,0.9,4,27
tfim,dct,0.99,4,135
tfim,identity,0.5,4,33
tfim,identity,0.9,4,339
tfim,identity,0.99,4,793
tfim,wht,0.5,5,3
tfim,wht,0.9,5,42
tfim,wht,0.99,5,206
tfim,dct,0.5,5,2
tfim,dct,0.9,5,27
tfim,dct,0.99,5,135
tfim,identity,0.5,5,33
tfim,identity,0.9,5,339
tfim,identity,0.99,5,793
tfim,wht,0.5,6,3
tfim,wht,0.9,6,42
tfim,wht,0.99,6,206
tfim,dct,0.5,6,2
tfim,dct,0.9,6,27
tfim,dct,0.99,6,135
tfim,identity,0.5,6,33
tfim,identity,0.9,6,339
tfim,identity,0.99,6,793
tfim,wht,0.5,7,3
tfim,wht,0.9,7,42
tfim,wht,0.99,7,206
tfim,dct,0.5,7,2
tfim,dct,0.9,7,27
tfim,dct,0.99,7,135
tfim,identity,0.5,7,33
tfim,identity,0.9,7,339
tfim,identity,0.99,7,793
tfim,wht,0.5,8,3
tfim,wht,0.9,8,42
tfim,wht,0.99,8,206
tfim,dct,0.5,8,2
tfim,dct,0.9,8,27
tfim,dct,0.99,8,135
tfim,identity,0.5,8,33
tfim,identity,0.9,8,339
tfim,identity,0.99,8,793
tfim,wht,0.5,9,3
tfim,wht,0.9,9,42
tfim,wht,0.99,9,206
tfim,dct,0.5,9,2
tfim,dct,0.9,9,27
tfim,dct,0.99,9,135
tfim,identity,0.5,9,33
tfim,identity,0.9,9,339
tfim,identity,0.99,9,793
tfim,wht,0.5,10,3
tfim,wht,0.9,10,42
tfim,wht,0.99,10,206
tfim,dct,0.5,10,2
tfim,dct,0.9,10,27
tfim,dct,0.99,10,135
tfim,identity,0.5,10,33
tfim,identity,0.9,10,339
tfim,identity,0.99,10,793
tfim,wht,0.5,11,3
tfim,wht,0.9,11,42
tfim,wht,0.99,11,206
tfim,dct,0.5,11,2
tfim,dct,0.9,11,27
tfim,dct,0.99,11,135
tfim,identity,0.5,11,33
tfim,identity,0.9,11,339
tfim,identity,0.99,11,793
tfim,wht,0.5,12,3
tfim,wht,0.9,12,42
tfim,wht,0.99,12,206
tfim,dct,0.5,12,2
tfim,dct,0.9,12,27
tfim,dct,0.99,12,135
tfim,identity,0.5,12,33
tfim,identity,0.9,12,339
tfim,identity,0.99,12,793
tfim,wht,0.5,13,3
tfim,wht,0.9,13,42
tfim,wht,0.99,13,206
tfim,dct,0.5,13,2
tfim,dct,0.9,13,27
tfim,dct,0.99,13,135
