state_class,strategy,sample_idx,basis
tfim,oracle,8,dct
tfim,wht_only,9,wht
tfim,kstar_90,9,dct
tfim,kstar_50,9,dct
tfim,topk_mass,9,dct
tfim,quant_probe,9,dct
tfim,hybrid,9,dct
tfim,oracle,9,dct
tfim,wht_only,10,wht
tfim,kstar_90,10,dct
tfim,kstar_50,10,dct
tfim,topk_mass,10,dct
tfim,quant_probe,10,dct
tfim,hybrid,10,dct
tfim,oracle,10,dct
tfim,wht_only,11,wht
tfim,kstar_90,11,dct
tfim,kstar_50,11,dct
tfim,topk_mass,11,dct
tfim,quant_probe,11,dct
tfim,hybrid,11,dct
tfim,oracle,11,dct
tfim,wht_only,12,wht
tfim,kstar_90,12,dct
tfim,kstar_50,12,dct
tfim,topk_mass,12,dct
tfim,quant_probe,12,dct
tfim,hybrid,12,dct
tfim,oracle,12,dct
tfim,wht_only,13,wht
tfim,kstar_90,13,dct
tfim,kstar_50,13,dct
tfim,topk_mass,13,dct
tfim,quant_probe,13,dct
tfim,hybrid,13,dct
tfim,oracle,13,dct
tfim,wht_only,14,wht
tfim,kstar_90,14,dct
tfim,kstar_50,14,dct
tfim,topk_mass,14,dct
tfim,quant_probe,14,dct
tfim,hybrid,14,dct
tfim,oracle,14,dct
tfim,wht_only,15,wht
tfim,kstar_90,15,dct
tfim,kstar_50,15,dct
tfim,topk_mass,15,dct
tfim,quant_probe,15,dct
tfim,hybrid,15,dct
tfim,oracle,15,dct
tfim,wht_only,16,wht
tfim,kstar_90,16,dct
tfim,kstar_50,16,dct
tfim,topk_mass,16,dct
tfim,quant_probe,16,dct
tfim,hybrid,16,dct
tfim,oracle,16,dct
tfim,wht_only,17,wht
tfim,kstar_90,17,dct
tfim,kstar_50,17,dct
tfim,topk_mass,17,dct
tfim,quant_probe,17,dct
tfim,hybrid,17,dct
tfim,oracle,17,dct
tfim,wht_only,18,wht
tfim,kstar_90,18,dct
tfim,kstar_50,18,dct
tfim,topk_mass,18,dct
tfim,quant_probe,18,dct
tfim,hybrid,18,dct
tfim,oracle,18,dct
tfim,wht_only,19,wht
tfim,kstar_90,19,dct
tfim,kstar_50,19,dct
tfim,topk_mass,19,dct
tfim,quant_probe,19,dct
tfim,hybrid,19,dct
tfim,oracle,19,dct
mps,wht_only,0,wht
mps,kstar_90,0,dct
mps,kstar_50,0,identity
mps,topk_mass,0,dct
mps,quant_probe,0,identity
mps,hybrid,0,identity
mps,oracle,0,identity
mps,wht_only,1,wht
mps,kstar_90,1,identity
mps,kstar_50,1,identity
mps,topk_mass,1,identity
mps,quant_probe,1,wht
mps,hybrid,1,wht
mps,oracle,1,wht
mps,wht_only,2,wht
mps,kstar_90,2,wht
mps,kstar_50,2,wht
mps,topk_mass,2,identity
mps,quant_probe,2,wht
mps,hybrid,2,wht
mps,oracle,2,wht
mps,wht_only,3,wht
mps,kstar_90,3,identity
mps,kstar_50,3,identity
mps,topk_mass,3,wht
mps,quant_probe,3,wht
mps,hybrid,3,wht
mps,oracle,3,wht
mps,wht_only,4,wht
mps,kstar_90,4,wht
mps,kstar_50,4,wht
mps,topk_mass,4,wht
mps,quant_probe,4,wht
mps,hybrid,4,wht
mps,oracle,4,wht
mps,wht_only,5,wht
mps,kstar_90,5,identity
mps,kstar_50,5,identity
mps,topk_mass,5,identity
mps,quant_probe,5,dct
mps,hybrid,5,dct
mps,oracle,5,dct
mps,wht_only,6,wht
mps,kstar_90,6,identity
mps,kstar_50,6,identity
mps,topk_mass,6,identity
mps,quant_probe,6,wht
mps,hybrid,6,wht
mps,oracle,6,wht
mps,wht_only,7,wht
mps,kstar_90,7,identity
mps,kstar_50,7,identity
mps,topk_mass,7,dct
mps,quant_probe,7,dct
mps,hybrid,7,dct
mps,oracle,7,dct
mps,wht_only,8,wht
mps,kstar_90,8,wht
mps,kstar_50,8,identity
mps,topk_mass,8,wht
mps,quant_probe,8,wht
mps,hybrid,8,wht
mps,oracle,8,wht
mps,wht_only,9,wht
mps,kstar_90,9,wht
mps,kstar_50,9,wht
mps,topk_mass,9,wht
mps,quant_probe,9,dct
mps,hybrid,9,dct
mps,oracle,9,dct
mps,wht_only,10,wht
mps,kstar_90,10,identity
mps,kstar_50,10,wht
mps,topk_mass,10,wht
mps,quant_probe,10,dct
mps,hybrid,10,dct
mps,oracle,10,dct
mps,wht_only,11,wht
mps,kstar_90,11,identity
mps,kstar_50,11,identity
mps,topk_mass,11,identity
mps,quant_probe,11,wht
mps,hybrid,11,wht
mps,oracle,11,wht
mps,wht_only,12,wht
mps,kstar_90,12,identity
mps,kstar_50,12,identity
mps,topk_mass,12,identity
mps,quant_probe,12,dct
mps,hybrid,12,dct
mps,oracle,12,wht
mps,wht_only,13,wht
mps,kstar_90,13,wht
mps,kstar_50,13,wht
mps,topk_mass,13,wht
mps,quant_probe,13,dct
mps,hybrid,13,dct
mps,oracle,13,identity
mps,wht_only,14,wht
mps,kstar_90,14,wht
mps,kstar_50,14,wht
mps,topk_mass,14,wht
mps,quant_probe,14,identity
mps,hybrid,14,identity
mps,oracle,14,identity
mps,wht_only,15,wht
mps,kstar_90,15,wht
mps,kstar_50,15,wht
mps,topk_mass,15,wht
mps,quant_probe,15,dct
mps,hybrid,15,dct
mps,oracle,15,dct
mps,wht_only,16,wht
mps,kstar_90,16,wht
mps,kstar_50,16,identity
mps,topk_mass,16,identity
mps,quant_probe,16,wht
mps,hybrid,16,wht
mps,oracle,16,wht
mps,wht_only,17,wht
mps,kstar_90,17,wht
mps,kstar_50,17,wht
mps,topk_mass,17,wht
mps,quant_probe,17,identity
mps,hybrid,17,identity
mps,oracle,17,dct
mps,wht_only,18,wht
mps,kstar_90,18,identity
mps,kstar_50,18,identity
mps,topk_mass,18,wht
mps,quant_probe,18,dct
mps,hybrid,18,dct
mps,oracle,18,dct
mps,wht_only,19,wht
mps,kstar_90,19,identity
mps,kstar_50,19,identity
mps,topk_mass,19,identity
mps,quant_probe,19,dct
mps,hybrid,19,dct
mps,oracle,19,dct
heisenberg,wht_only,0,wht
heisenberg,kstar_90,0,wht
heisenberg,kstar_50,0,wht
heisenberg,topk_mass,0,wht
heisenberg,quant_probe,0,dct
heisenberg,hybrid,0,dct
heisenberg,oracle,0,dct
heisenberg,wht_only,1,wht
heisenberg,kstar_90,1,wht
heisenberg,kstar_50,1,wht
heisenberg,topk_mass,1,wht
heisenberg,quant_probe,1,dct
heisenberg,hybrid,1,dct
heisenberg,oracle,1,dct
heisenberg,wht_only,2,wht
heisenberg,kstar_90,2,wht
heisenberg,kstar_50,2,wht
heisenberg,topk_mass,2,wht
heisenberg,quant_probe,2,dct
heisenberg,hybrid,2,dct
heisenberg,oracle,2,dct
heisenberg,wht_only,3,wht
heisenberg,kstar_90,3,wht
heisenberg,kstar_50,3,wht
heisenberg,topk_mass,3,wht
heisenberg,quant_probe,3,dct
heisenberg,hybrid,3,dct
heisenberg,oracle,3,dct
heisenberg,wht_only,4,wht
heisenberg,kstar_90,4,wht
heisenberg,kstar_50,4,wht
heisenberg,topk_mass,4,wht
heisenberg,quant_probe,4,dct
heisenberg,hybrid,4,dct
heisenberg,oracle,4,dct
heisenberg,wht_only,5,wht
heisenberg,kstar_90,5,wht
